City,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
500,Cortez,US,50.04,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
501,Kirakira,SB,83.08,broken clouds,-10.4544,161.9205,SanBiz Lodge
504,Charters Towers,AU,72.99,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
506,Linhares,BR,71.46,overcast clouds,-19.3911,-40.0722,Hotel Conceição
510,Touros,BR,79.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
511,Copiapo,CL,67.69,clear sky,-27.3667,-70.3333,Antay Casino Hotel
513,Kulhudhuffushi,MV,81.84,clear sky,6.6221,73.07,Haajy Guest House 1
514,Mae Chan,TH,74.86,light rain,20.1467,99.8526,Kiang Dao Resort
515,Pa Sang,TH,80.02,overcast clouds,18.5262,98.9394,โรงแรม จามจุรี 99
517,Whitianga,NZ,66.85,light rain,-36.8333,175.7,Beachside Resort Whitianga
519,Salina Cruz,MX,85.66,few clouds,16.1667,-95.2,Amerik HOTEL
520,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
523,Mananjary,MG,75.25,overcast clouds,-21.2167,48.3333,Vahiny Lodge
524,Mount Isa,AU,71.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
525,Les Cayes,HT,79.9,scattered clouds,18.2,-73.75,Villa Orphee
527,Oil City,US,51.37,overcast clouds,41.4339,-79.7064,Days Inn by Wyndham Oil City Conference Center
528,Yeppoon,AU,71.38,few clouds,-23.1333,150.7333,Villa Mar Colina
529,Ajdabiya,LY,50.14,clear sky,30.7554,20.2263,Almadina Hotel
530,Muswellbrook,AU,71.33,overcast clouds,-32.2667,150.9,Wayfarer Motel
531,Luena,AO,64.51,light rain,-11.7833,19.9167,Hotel Kandamba
533,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
534,Zhuhai,CN,65.98,broken clouds,22.2769,113.5678,珠海粤财假日酒店
535,Kawalu,ID,72.61,overcast clouds,-7.3817,108.2082,West Jontor
540,Talara,PE,83.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
541,Aswan,EG,59.43,clear sky,24.0934,32.907,Nuba Nile
544,Puerto Baquerizo Moreno,EC,83.39,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
545,Sao Felix Do Xingu,BR,74.59,moderate rain,-6.6447,-51.995,Rio Xingu Camping
546,Diamantina,BR,60.15,scattered clouds,-18.2494,-43.6003,POUSADA OURO DE MINAS
547,General Pico,AR,77.76,clear sky,-35.6566,-63.7568,Euskadi Hotel
548,Pinotepa Nacional,MX,88.75,scattered clouds,16.3167,-98.0167,Hotel Maria Del Carmen
549,Radhanpur,IN,74.55,few clouds,23.8333,71.6,"HONEST - HOTEL (VIRAT HOTEL AND GUEST HOUSE, RADHANPUR))"
550,Mackay,AU,74.68,scattered clouds,-21.15,149.2,International Lodge Motel
551,Joshimath,IN,52.05,clear sky,30.5667,79.5667,Shivalik Camps & Resort
555,Harindanga,IN,75.99,scattered clouds,22.0383,88.3214,Santi purno
557,Kasempa,ZM,61.92,broken clouds,-13.4584,25.8338,Lolelunga Forest Reserve
558,Ribeira Brava,PT,63.05,scattered clouds,32.65,-17.0667,Hotel do Campo
559,Pontes E Lacerda,BR,76.05,moderate rain,-15.2261,-59.3353,Hotel Bressan
561,Goma,CD,61.93,overcast clouds,-1.6792,29.2228,"Goma, CENTRE D'ACCUEIL CARITAS"
562,Dingle,PH,76.95,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
564,Turbat,PK,73.35,clear sky,26.0023,63.044,Mubashar Quarters
567,Pine Bluff,US,60.73,overcast clouds,34.2284,-92.0032,"Holiday Inn Express & Suites Pine Bluff, an IHG Hotel"
568,Carutapera,BR,75.65,overcast clouds,-1.195,-46.02,Lidera
571,Robertsport,LR,79.84,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
572,Puerto Escondido,MX,88.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
573,Ballina,AU,68.02,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
574,Cabedelo,BR,77.67,heavy intensity rain,-6.9811,-34.8339,Hotel Pigalle
575,Gushikawa,JP,66.2,broken clouds,26.3544,127.8686,Kirari Guest House
576,Fortaleza,BR,78.22,broken clouds,-3.7227,-38.5247,Hotel Sonata de Iracema
578,Isiro,CD,66.54,light rain,2.7739,27.616,Guest House Hewa Bora
579,Makakilo City,US,77.32,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
580,Johor Bahru,MY,78.71,broken clouds,1.4655,103.7578,KSL Resort Johor Bahru City Centre
582,Virginia Beach,US,71.65,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
583,Nago,JP,67.05,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
585,Mangit,UZ,52.34,overcast clouds,40.5971,70.9607,Dangara Hotel
586,Guatire,VE,76.46,clear sky,10.4762,-66.5427,Parque Residencial Canaima I
587,Vredendal,ZA,78.85,clear sky,-31.6683,18.5012,Tharrakamma Guest House
588,Pedernales,DO,83.89,clear sky,18.0384,-71.744,Hotel Costa Marina
589,Lethem,GY,89.65,few clouds,3.3803,-59.7968,Savannah Inn
592,Xai-Xai,MZ,71.8,clear sky,-25.0519,33.6442,Complexo da Familia
594,Tessaoua,NE,82.22,scattered clouds,13.7574,7.9874,Benin Dan Kaabou Heberge
596,Itupiranga,BR,79.12,overcast clouds,-5.1347,-49.3267,Hotel Panorama
597,Richards Bay,ZA,69.85,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
598,Meulaboh,ID,76.59,broken clouds,4.1363,96.1285,Kost Pria
601,Guantanamo,CU,83.77,few clouds,20.1444,-75.2092,Hotel Guantánamo
602,Luwuk,ID,76.89,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
603,Ambilobe,MG,74.39,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
606,Mabaruma,GY,76.12,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
607,Kudahuvadhoo,MV,82.17,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
608,Bojonegoro,ID,76.28,overcast clouds,-7.1502,111.8817,Dewarna Hotel & Convention
609,Baft,IR,52.3,clear sky,29.234,56.6057,Paeez Hotel & restaurant
610,Olinda,BR,76.73,heavy intensity rain,-8.0089,-34.8553,Flat Quatro Rodas Olinda
612,Coahuayana,MX,86.18,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
616,Eagle Pass,US,72.18,clear sky,28.7091,-100.4995,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
618,Bombay,IN,82.38,smoke,19.0144,72.8479,Hotel Avon Ruby-Dadar
623,Victor Harbor,AU,63,overcast clouds,-35.5667,138.6167,McCracken Country Club
624,Jacareacanga,BR,78.66,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
625,Garissa,KE,80.49,clear sky,-0.4536,39.6401,Sharif Plaza Hotel
627,Martinsburg,US,65.88,clear sky,39.4562,-77.9639,"Holiday Inn Martinsburg, an IHG Hotel"
629,Fuzhou,CN,51.69,overcast clouds,26.0614,119.3061,Shangri La Hotel Fuzhou
631,Tecoanapa,MX,84.31,broken clouds,16.5167,-98.75,Hotel Manglares
632,Kamloops,CA,50.99,broken clouds,50.6665,-120.3192,Ramada by Wyndham Kamloops
635,Lumphat,KH,75.38,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
636,Oliveira Dos Brejinhos,BR,82.36,broken clouds,-12.3169,-42.8961,Hotel Paraiso
640,Swellendam,ZA,70.16,broken clouds,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
641,Sirjan,IR,57.63,clear sky,29.452,55.6814,MAPNA Building
643,Pamanukan,ID,76.93,overcast clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
644,Pakokku,MM,80.22,overcast clouds,21.3333,95.1,Royal Palace Motel
646,Abu Dhabi,AE,73.42,clear sky,24.4667,54.3667,Beach Rotana
647,Hurghada,EG,59.04,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
650,Boueni,YT,82.38,clear sky,-12.9025,45.0761,The feet in water
652,Tabuk,PH,71.94,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
653,Maumere,ID,79.39,overcast clouds,-8.6199,122.2111,Sylvia Hotel
654,Blackwater,AU,74.1,clear sky,-23.5833,148.8833,Blackwater Motor Inn
655,Pontianak,ID,75.18,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
656,Rancho Palos Verdes,US,87.94,clear sky,33.7445,-118.387,Terranea Resort
657,Santa Isabel Do Rio Negro,BR,78.19,broken clouds,-0.4139,-65.0192,Hotel GSA
660,Aloleng,PH,80.51,scattered clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
665,Tanete,ID,75.31,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
667,Mpanda,TZ,63.9,broken clouds,-6.3655,31.0409,CH Hotel - Mpanda
671,Pailon,BO,88.7,broken clouds,-17.65,-62.75,Alojamiento pailon
674,Kharan,PK,71.94,clear sky,28.5833,65.4167,Dil Aram Bangla
675,San Carlos De Bariloche,AR,62.35,few clouds,-41.1456,-71.3082,Hotel Patagonia
676,Dubbo,AU,66.33,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
677,Bud,US,55.35,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
681,Sacama,EC,59.16,light rain,-3.9,-79.2667,Pachito Cuenca
684,San Juan,AR,80.83,clear sky,-31.5375,-68.5364,Hotel Provincial
686,Todos Santos,MX,81.3,clear sky,23.45,-110.2167,Hotel California Todos Santos
687,Sabha,LY,53.1,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
688,Metu,ET,63.3,overcast clouds,8.3,35.5833,Selam pension
689,Acajutla,SV,85.87,overcast clouds,13.5928,-89.8275,Laureles
690,Balabagan,PH,77.05,overcast clouds,7.5264,124.1142,Lobregat Cottage
691,Presidencia Roque Saenz Pena,AR,73.58,broken clouds,-26.7852,-60.4388,Hotel Gualok
692,Burnie,AU,59.92,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
694,Tsabong,BW,77.14,scattered clouds,-26.0217,22.401,Springbok Motel
695,Constitucion,CL,60.19,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
697,Mirabela,BR,68.72,broken clouds,-16.2628,-44.1644,Hotel e Restaurante Barril
698,Castanos,MX,74.79,clear sky,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
699,Ogaminana,NG,82.47,overcast clouds,7.5946,6.2248,Billy Guest Inn
700,Duki,PK,66.16,clear sky,30.1541,68.5728,Bhari Dada Kaka Hotel
701,Coruripe,BR,79.86,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
704,Paignton,GB,52.05,clear sky,50.4357,-3.5679,The Grand Hotel
706,Mumbwa,ZM,59.94,scattered clouds,-14.9783,27.0619,Mumbwa Motel
711,Norsup,VU,82.71,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
713,Tubuala,PA,80.04,overcast clouds,9.5167,-79.0333,Río Nabagana
