City,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
102,Vila Franca Do Campo,PT,60.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
103,Boke,GN,73.8,broken clouds,10.9409,-14.2967,Hôtel Rio Nunez - Boké
104,Ponta Do Sol,PT,63.05,scattered clouds,32.6667,-17.1,Hotel do Campo
105,Cabo San Lucas,MX,80.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
107,Hermanus,ZA,70.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
109,East London,ZA,71.47,clear sky,-33.0153,27.9116,Tu Casa
111,Morwa,IN,80.53,broken clouds,22.9,73.8333,mahakali maa hotel
112,Toritama,BR,74.43,scattered clouds,-8.0067,-36.0567,Toritama Golden Hotel
113,Mahebourg,MU,79.09,shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
114,Palmer,US,51.66,broken clouds,42.1584,-72.3287,Wedgewood Motel
115,Labuhan,ID,79.72,overcast clouds,-6.8844,112.2051,DoubleFAG
118,Victoria,HK,68.32,light rain,22.2855,114.1577,Mini Hotel Central
120,Nachingwea,TZ,69.39,few clouds,-10.3833,38.7667,Makoga lodge
121,Pisco,PE,75.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
122,Soe,ID,65.07,overcast clouds,-9.8607,124.284,Dena Hotel
124,Port Lincoln,AU,62.1,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
125,Awbari,LY,54.18,clear sky,26.5921,12.7805,فندق أوباري
126,Jamestown,US,50.95,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
128,Nhulunbuy,AU,77.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
130,Saint George,US,66.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
132,Itoman,JP,66.97,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
133,Coihaique,CL,58.95,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
134,Bambous Virieux,MU,79.05,shower rain,-20.3428,57.7575,Casa Tia Villa
135,Umred,IN,73.69,scattered clouds,20.85,79.3333,"Dr.Babasaheb Ambedkar Goverment Boys Hostel ,Umred"
136,Tibati,CM,75.49,overcast clouds,6.4667,12.6333,Tibati Hotel
137,Codrington,AU,60.01,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
139,Los Llanos De Aridane,ES,60.55,few clouds,28.6585,-17.9182,Valle Aridane
140,Souillac,MU,79.18,shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
141,Belmonte,BR,76.1,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
142,Gat,IL,50.4,broken clouds,31.61,34.7642,OlusHome
144,Cidreira,BR,73.13,overcast clouds,-30.1811,-50.2056,Hotel Castelo
145,Esperance,AU,60.64,overcast clouds,-33.8667,121.9,Hospitality Esperance
146,Yabelo,ET,67.48,broken clouds,4.8833,38.0833,Asnakech W/michael
147,Jaen,ES,54.43,overcast clouds,38,-3.5,Hotel TRH Baeza
148,Yarada,IN,80.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
150,Solymar,HU,50.79,few clouds,47.5925,18.9321,Room close to Budapest
153,Road Town,VG,80.64,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
155,Concordia,AR,72.79,overcast clouds,-31.393,-58.0209,Palmar Hotel Casino
156,Lompoc,US,88.79,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
159,Upala,CR,86.63,overcast clouds,10.8979,-85.0145,Hotel El Pueblo Upala
160,Castro,BR,66.04,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
162,Christchurch,NZ,64.94,mist,-43.5333,172.6333,The George
