City,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Bethel,US,41.3712,-73.414,55.02,24,96,3.0,overcast clouds
79,Lagoa,PT,39.05,-27.9833,59.25,79,33,13.35,scattered clouds
80,Sur,OM,22.5667,59.5289,77.02,50,0,10.29,clear sky
81,Dondo,MZ,-19.6094,34.7431,78.31,95,41,3.91,light rain
82,Sola,VU,-13.8833,167.55,83.07,74,40,2.3,scattered clouds
83,Marawi,PH,7.9986,124.2928,67.69,95,100,1.12,overcast clouds
84,Hasaki,JP,35.7333,140.8333,30.6,54,53,20.18,broken clouds
85,Naze,JP,28.3667,129.4833,61.72,81,100,8.03,overcast clouds
86,Carnarvon,AU,-24.8667,113.6333,77.07,73,94,10.36,overcast clouds
87,Fredericksburg,US,38.3032,-77.4605,71.02,34,0,8.05,clear sky
88,Weihai,CN,37.5017,122.1136,38.68,77,100,8.37,overcast clouds
89,Sao Filipe,CV,14.8961,-24.4956,70.75,74,8,13.67,clear sky
90,Thompson,CA,55.7435,-97.8558,26.76,93,100,4.61,overcast clouds
91,Bredasdorp,ZA,-34.5322,20.0403,69.46,87,90,13.67,overcast clouds
92,Esquipulas,GT,14.5667,-89.35,95.47,31,75,6.91,broken clouds
93,Clyde River,CA,70.4692,-68.5914,-14.57,76,20,4.61,few clouds
94,Cherskiy,RU,68.75,161.3,22.01,81,22,8.28,few clouds
95,Piracuruca,BR,-3.9281,-41.7092,75.92,93,99,3.76,very heavy rain
96,Port Elizabeth,ZA,-33.918,25.5701,68.31,98,75,3.44,mist
97,Bubaque,GW,11.2833,-15.8333,76.35,75,50,20.78,scattered clouds
98,Kieta,PG,-6.2167,155.6333,81.88,77,100,2.55,overcast clouds
99,Alofi,NU,-19.0595,-169.9187,84.09,84,75,11.52,broken clouds
100,Nabire,ID,-3.3667,135.4833,76.14,92,100,2.95,light rain
101,Miguel Alves,BR,-4.1656,-42.8953,74.57,99,100,2.93,very heavy rain
102,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,84,52,8.05,broken clouds
103,Boke,GN,10.9409,-14.2967,73.8,75,54,5.01,broken clouds
104,Ponta Do Sol,PT,32.6667,-17.1,63.05,65,43,10.2,scattered clouds
105,Cabo San Lucas,MX,22.8909,-109.9124,80.62,36,0,13.8,clear sky
106,Qaanaaq,GL,77.484,-69.3632,-6.63,99,100,3.06,overcast clouds
107,Hermanus,ZA,-34.4187,19.2345,70.81,83,88,14.29,overcast clouds
108,Norman Wells,CA,65.282,-126.8329,3.24,60,100,12.66,overcast clouds
109,East London,ZA,-33.0153,27.9116,71.47,82,10,10.92,clear sky
110,Tasiilaq,GL,65.6145,-37.6368,14.16,56,15,3.18,few clouds
111,Morwa,IN,22.9,73.8333,80.53,13,66,11.56,broken clouds
112,Toritama,BR,-8.0067,-36.0567,74.43,87,49,8.21,scattered clouds
113,Mahebourg,MU,-20.4081,57.7,79.09,94,75,9.22,shower rain
114,Palmer,US,42.1584,-72.3287,51.66,22,75,13.8,broken clouds
115,Labuhan,ID,-6.8844,112.2051,79.72,85,99,3.15,overcast clouds
116,Tromso,NO,69.6496,18.957,37.42,87,75,9.22,light intensity shower rain
117,Pevek,RU,69.7008,170.3133,24.62,78,100,22.62,overcast clouds
118,Victoria,HK,22.2855,114.1577,68.32,93,100,1.99,light rain
119,Shingu,JP,33.7333,135.9833,44.42,82,100,5.53,overcast clouds
120,Nachingwea,TZ,-10.3833,38.7667,69.39,98,17,1.77,few clouds
121,Pisco,PE,-13.7,-76.2167,75.02,68,0,25.32,clear sky
122,Soe,ID,-9.8607,124.284,65.07,92,99,3.0,overcast clouds
123,Husavik,IS,66.0449,-17.3389,31.06,94,100,16.96,light snow
124,Port Lincoln,AU,-34.7333,135.8667,62.1,73,100,15.12,overcast clouds
125,Awbari,LY,26.5921,12.7805,54.18,31,0,9.62,clear sky
126,Jamestown,US,42.097,-79.2353,50.95,22,100,8.05,overcast clouds
127,Fairbanks,US,64.8378,-147.7164,14.49,65,100,6.91,light snow
128,Nhulunbuy,AU,-12.2333,136.7667,77.61,94,40,0.0,scattered clouds
129,Severo-Kurilsk,RU,50.6789,156.125,27.16,70,100,7.2,overcast clouds
130,Saint George,US,37.1041,-113.5841,66.79,22,0,25.32,clear sky
131,Fengzhen,CN,40.4394,113.1536,26.35,95,66,2.33,light snow
132,Itoman,JP,26.1247,127.6694,66.97,100,75,8.05,light rain
133,Coihaique,CL,-45.5752,-72.0662,58.95,58,75,5.75,broken clouds
134,Bambous Virieux,MU,-20.3428,57.7575,79.05,94,75,9.22,shower rain
135,Umred,IN,20.85,79.3333,73.69,14,30,5.88,scattered clouds
136,Tibati,CM,6.4667,12.6333,75.49,21,90,2.84,overcast clouds
137,Codrington,AU,-38.2667,141.9667,60.01,64,100,10.67,overcast clouds
138,Nueva Concepcion,GT,14.2,-91.3,90.34,44,62,13.69,broken clouds
139,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,84,20,5.75,few clouds
140,Souillac,MU,-20.5167,57.5167,79.18,94,75,9.22,shower rain
141,Belmonte,BR,-15.8631,-38.8828,76.1,88,54,9.51,broken clouds
142,Gat,IL,31.61,34.7642,50.4,67,58,2.17,broken clouds
143,Bukan,IR,36.521,46.2089,39.92,93,99,3.33,overcast clouds
144,Cidreira,BR,-30.1811,-50.2056,73.13,76,100,25.66,overcast clouds
145,Esperance,AU,-33.8667,121.9,60.64,60,96,8.19,overcast clouds
146,Yabelo,ET,4.8833,38.0833,67.48,49,65,4.23,broken clouds
147,Jaen,ES,38.0,-3.5,54.43,72,100,14.52,overcast clouds
148,Yarada,IN,17.65,83.2667,80.92,89,75,2.3,mist
149,Flin Flon,CA,54.7682,-101.865,33.64,75,75,12.66,broken clouds
150,Solymar,HU,47.5925,18.9321,50.79,29,14,3.8,few clouds
151,Orlik,RU,52.5178,99.825,-5.22,97,84,1.61,broken clouds
152,Yar-Sale,RU,66.8333,70.8333,13.08,96,99,11.05,overcast clouds
153,Road Town,VG,18.4167,-64.6167,80.64,65,40,11.5,scattered clouds
154,Warmbad,NA,-28.45,18.7333,73.27,64,91,17.69,overcast clouds
155,Concordia,AR,-31.393,-58.0209,72.79,83,100,11.01,overcast clouds
156,Lompoc,US,34.6391,-120.4579,88.79,34,20,10.36,few clouds
157,Mokhsogollokh,RU,61.4681,128.9203,-7.15,100,71,3.71,broken clouds
158,Kodiak,US,57.79,-152.4072,35.11,48,100,13.8,overcast clouds
159,Upala,CR,10.8979,-85.0145,86.63,56,89,7.02,overcast clouds
160,Castro,BR,-24.7911,-50.0119,66.04,73,75,6.93,broken clouds
161,Srednekolymsk,RU,67.45,153.6833,9.01,93,99,3.44,overcast clouds
162,Christchurch,NZ,-43.5333,172.6333,64.94,94,100,3.44,mist
163,Mar Del Plata,AR,-38.0023,-57.5575,69.82,89,0,13.0,clear sky
164,Mayo,US,38.8876,-76.5119,68.56,49,0,6.91,clear sky
165,Mackenzie,CA,55.2999,-123.1698,41.22,93,100,14.97,overcast clouds
166,Alice Springs,AU,-23.7,133.8833,63.95,48,29,6.91,scattered clouds
167,Natal,BR,-5.795,-35.2094,80.82,89,75,5.75,broken clouds
168,Hamilton,US,39.1834,-84.5333,68.63,65,100,9.22,overcast clouds
169,Ojinaga,MX,29.5667,-104.4167,65.57,31,0,6.91,clear sky
170,Karpogory,RU,64.0019,44.4451,28.06,83,100,9.1,overcast clouds
171,Ust-Tsilma,RU,65.441,52.1498,27.05,83,99,13.53,overcast clouds
172,Vardo,NO,70.3705,31.1107,30.18,86,100,21.85,overcast clouds
